feature,importance
age,0.33316543110849356
hypertension,0.013983076917154424
heart_disease,0.011908340237685475
avg_glucose_level,0.14542410141411713
bmi,0.10875540451411359
gender_Male,0.03916270034236581
gender_Other,8.437558269647852e-07
ever_married_Yes,0.07544098155951907
work_type_Never_worked,1.9221652596773907e-05
work_type_Private,0.045227496642636825
work_type_Self-employed,0.050376084107296576
work_type_children,0.007403179254396832
Residence_type_Urban,0.0444634342894294
smoking_status_formerly smoked,0.058040535562116156
smoking_status_never smoked,0.03755668028685597
smoking_status_smokes,0.02907248835539553
